id,name,latitude,longitude,,,,,,,,,
496503,"2 interconnected apts, walk to all sites!",37.9802,23.72357,,,,,,,,,
496561,In the shadow of Acropolis,37.97273,23.72912,,,,,,,,,
497502,Design studio & lemon tree garden!!,37.96887,23.74274,,,,,,,,,
498604,"Acropolis, Koukaki apartment",37.96367,23.71791,,,,,,,,,
502779,"Bauhaus building, 5 apts, 3 levels. Next to Plaka.",37.9802,23.72357,,,,,,,,,
502842,"1 bedrm apt, terrace, walk to Plaka",37.9802,23.72357,,,,,,,,,
502879,"Garden apt, next to Plaka. Roof top terrace!",37.9802,23.72357,,,,,,,,,
505720,"Central,spacious,pine forest view!!",37.9688,23.74276,,,,,,,,,
505769,Athens Green Apartment with garden!,37.9688,23.74276,,,,,,,,,
536123,Acropolis charming apt with balcony,37.96648,23.7276,,,,,,,,,
536197,"Plaka, modern one bed apt, Cathedral Sq.",37.97506,23.73068,,,,,,,,,
540986,Cosy central studio with garden!!,37.9688,23.74275,,,,,,,,,
541001,Design apartment balcony + garden!!,37.9688,23.74275,,,,,,,,,
545520,Garden Delight in the city center!!,37.96887,23.74274,,,,,,,,,
545616,Design apartment near Syntagma!!,37.9688,23.74275,,,,,,,,,
565235,10min walk from ACROPOLIS !!!,37.96829,23.7111,,,,,,,,,
567938,Live your myth in petralona...,37.97073,23.71511,,,,,,,,,
571492,"Acropolis View Alpha+ Penthouse Walk, Views, WiFI",37.96772,23.74999,,,,,,,,,
571796,Lovely  flat  in Gizi area of Aths!,37.99338,23.75292,,,,,,,,,
571876,"Vintage Apartment Athens, Plaka (Historic Center)",37.97418,23.73276,,,,,,,,,
572435,Acropolis Beta by RealGreece,37.96879,23.75065,,,,,,,,,
583875,Acropolis City Center apartment,37.97617,23.72257,,,,,,,,,
587782,Breath Away National Garden wifi,37.97681,23.73344,,,,,,,,,
590287,Amazing view at quiet/safe neighborhood near metro,38.02547,23.73362,,,,,,,,,
593916,OLD CITY - ACROPOLIS BEST VIEW,37.97355,23.73005,,,,,,,,,
630791,Your Maisonette in the heart of At,37.96148,23.73122,,,,,,,,,
631150,Great design Acropolis apartment,37.96691,23.72823,,,,,,,,,
641721,Beach Summer House,37.97763,23.73473,,,,,,,,,
644785,Modern apartment in city centre - great location,37.97698,23.71008,,,,,,,,,
653639,"2 interconnected apts, roof top, views!",37.98013,23.72354,,,,,,,,,
674018,Spacious Comfy flat -near Acropolis,37.96553,23.73243,,,,,,,,,
681173,Acropolis view - Ideal for longer stays,37.98904,23.73742,,,,,,,,,
688483,Perfect Guest Room near Acropolis!,37.9643,23.73658,,,,,,,,,
691025,Value for money in Heart of Athens!,37.96464,23.73438,,,,,,,,,
695173,Unique Central Artistic Flat Athens,37.96341,23.72875,,,,,,,,,
699974,"SMALL FLAT NEAR STREFI HILL, ATHENS",37.98855,23.741,,,,,,,,,
702480,"Bright, Calming Retreat with a Balcony",38.0011,23.71626,,,,,,,,,
709960,Vintage apartment in historic center,37.97385,23.71567,,,,,,,,,
711554,By the hill,37.96483,23.71825,,,,,,,,,
718941,American style 4 Bed 4 Bath by RealGreece,37.96755,23.75163,,,,,,,,,
724485,5ΤΗ FLOOR WITH A VIEW DOWNTOWN,37.98972,23.73707,,,,,,,,,
725215,"Center 2, Metro 30m, Satelite TV",37.99252,23.73112,,,,,,,,,
726412,Lovely room in historic center,37.97338,23.71537,,,,,,,,,
727374,Casavathel1 Athens Center Apartment,38.01501,23.72582,,,,,,,,,
727526,"Acropolis at your door, A UNIQUE LOFT! 3' to Metro",37.97333,23.72025,,,,,,,,,
728383,Athenian Loft with Acropolis View,37.96063,23.73551,,,,,,,,,
751280,Metro  Acropolis  !!!!!!!!!!!!!!,37.96808,23.72695,,,,,,,,,
753164,STUDIO 18m2 A2  IN ATHENS,38.00798,23.73818,,,,,,,,,
758870,Discover Athens! Central ap/ment!!,37.98116,23.72286,,,,,,,,,
766382,Alice Inn's Fabulous 2BR Anthony Quinn Suite in the Heart of Plaka,37.97153,23.73358,,,,,,,,,
770808,LOCAL VIBES / CENTRAL AREA / COOL SAFE PLACES,37.98069,23.71608,,,,,,,,,
778192,"NEW 4 - 118sq,m.in Athens downtown?Awesome! 4",37.9837,23.72884,,,,,,,,,
781111,Visit Athens as an Athenian,37.97631,23.75181,,,,,,,,,
783657,Artistic studio in Syntagma with Acropolis view,37.97705,23.73144,,,,,,,,,
783955,New- A beautiful apartment,37.9887,23.73489,,,,,,,,,
784414,Nice Apt 98m2 Center Athens,37.99902,23.72908,,,,,,,,,
792097,Athens 5 persons apt./City Center,37.96626,23.75088,,,,,,,,,
800755,❤️The 1 and only Acropolis penthouse!❤️,37.97662,23.72362,,,,,,,,,
807239,Appartment @ Kypriadou district,38.02081,23.74098,,,,,,,,,
809874,Wonderfull Penthouse!!,37.96429,23.72194,,,,,,,,,
811912,PETIT APPARTEMENT A  ATHENES G3  ,38.00805,23.73856,,,,,,,,,
814119,Athens Greece. Kolonaki City Centre,37.97999,23.75133,,,,,,,,,
814643,DRINA,37.98402,23.75483,,,,,,,,,
841788,"Youthful , bright maisonette in central Athens",37.99913,23.73997,,,,,,,,,
841795,"Cozy, independent studio in Athens center",37.99914,23.74021,,,,,,,,,
841806,"Modern,independent studio in Athens with city view",38.00065,23.73971,,,,,,,,,
868095,Amazing Loft for 3 / Athens Center,37.98585,23.73353,,,,,,,,,
878526,Hilton Apartment with Roof Garden,37.97814,23.75388,,,,,,,,,
886724,Luxury Boutique Appartment -Athens,37.99671,23.7376,,,,,,,,,
891184,live@the historic center,37.98248,23.72045,,,,,,,,,
905315,Dream Studio hidden by Μulti level Garden,37.98796,23.73732,,,,,,,,,
906698,"Unique, Rare, 5 Star Home in Plaka -Acropolis view",37.97315,23.73169,,,,,,,,,
912287,New cozy  economic great location  ,38.00146,23.74574,,,,,,,,,
916135,Unique Penthouse Athens Hilton Area,37.97688,23.75254,,,,,,,,,
918776,Athens Soul Apartments Psiri,37.9775,23.72543,,,,,,,,,
918812,Athens Soul Apartments Plaka,37.96986,23.7312,,,,,,,,,
940213,3 apts in 1 building. Roof terrace. Next to Plaka.,37.9802,23.72357,,,,,,,,,
947552,"Smart, simple and comfy in Kolonaki",37.97911,23.74553,,,,,,,,,
956127,Dream Penthouse in Athens-Kolonaki,37.97686,23.74639,,,,,,,,,
956538,Colors in the heart of Athens,37.9801,23.72125,,,,,,,,,
968409,MID- LONG TERM IDEAL FOR EXECUTIVES,37.9809,23.75486,,,,,,,,,
974442,7th floor apartment with great view,37.98876,23.7462,,,,,,,,,
1004858,Academia Loft - Apartment with Pool,37.986,23.71409,,,,,,,,,
1019621,Alice Inn's Adorable Betty Boop Suite in Central Plaka,37.971,23.73211,,,,,,,,,
1021237,Sofia’s apartment in Kolonaki,37.97874,23.74259,,,,,,,,,
1025752,When you need a home...,37.98863,23.7379,,,,,,,,,
1046994,4 apts over 2 levels. Roof top. Next to Plaka!,37.9802,23.72357,,,,,,,,,
1068921,STUDIO 1 WITH BALCON-  INTERNET,38.00643,23.73943,,,,,,,,,
1085660,Stylish Apartment w/Acropolis Views,37.96345,23.73121,,,,,,,,,
1090225,"Center 3, (3-bedr) Metro 50m,Center",37.99463,23.72933,,,,,,,,,
1094063,Modern apartment under Acropolis,37.96843,23.72644,,,,,,,,,
1122600,Terrace loft in historic Athens,37.97697,23.72155,,,,,,,,,
1130640,HOME in Athens' HEART,37.999,23.72747,,,,,,,,,
1154316,Filopappos hill garden house,37.96396,23.72083,,,,,,,,,
1154328,BeAthens: Big Apartment @ Heart of Athens,37.9983,23.72549,,,,,,,,,
1177492,Trad Studio Appt -  Central Athens,37.96653,23.73493,,,,,,,,,
1193610,spacious apartment in Athens,38.01979,23.73821,,,,,,,,,
1199110,Alice Inn's Mighty Aphrodite Suite with Private Balcony,37.9731,23.73212,,,,,,,,,
1208210,LIVE IN STYLE UNDER THE ACROPOLIS RUINS,37.96845,23.72873,,,,,,,,,
1210642,Made for two #04 | Psyrri Square Apartments,37.97776,23.72554,,,,,,,,,
1211595,Cozy apt in central Athens - Mets,37.9667,23.73676,,,,,,,,,
1214643,Sweet Apartment Near Panormou Metro,37.99646,23.766,,,,,,,,,
1215033,Milk man’s place #03 | Psyrri Square Apartments,37.97808,23.72364,,,,,,,,,
1215055,House at the Foothills of Acropolis,37.97266,23.72967,,,,,,,,,
1216176,The Breathtaking View of Acropolis,37.96824,23.73095,,,,,,,,,
1219269,KOLONAKI  THE SAFEST NEIGHBORHOOD,37.98167,23.74057,,,,,,,,,
1222185,LUXURIOUS PENTHOUSE UNIQUE ACROPOLIS VIEW,37.9918,23.71009,,,,,,,,,
1223199,Athens1-Feel it like your own space,37.99875,23.73854,,,,,,,,,
1232080,Penthouse by Archeological Museum,37.99138,23.72893,,,,,,,,,
1232279,☰Vast Apartment ❤ Heart of Athens☰,37.97712,23.72671,,,,,,,,,
1245373,Great loft in the heart of Athens,37.98348,23.73304,,,,,,,,,
1247625,Charming 1bd apartment in Lycabettus hill,37.98545,23.75069,,,,,,,,,
1259830,Exotic Athens loft in downtown-Gazi,37.98103,23.71538,,,,,,,,,
1272844,Small hostel with garden in Mets,37.96525,23.73991,,,,,,,,,
1273159,Apartment under Acropolis-Athens,37.96926,23.7306,,,,,,,,,
1274262,Central Athens/Victoria sq flat,37.99172,23.73036,,,,,,,,,
1274275,Neoclassic loft in Plaka !,37.97294,23.73405,,,,,,,,,
1281833,Kolonaki Colors,37.98006,23.73763,,,,,,,,,
1286210,Zen space near center of Athens,37.98995,23.75891,,,,,,,,,
1315027,Penthouse -Hilton area -great view!,37.9743,23.75492,,,,,,,,,
1368303,ROOFGARDEN CENTRAL APARTMENT NEXT TO METRO,37.99479,23.76513,,,,,,,,,
1372935,ATHENS CENTER  SYNTAGMA SQUARE,37.97587,23.73311,,,,,,,,,
1374299,Casavathel2 Athens Center Apartment,38.01501,23.72582,,,,,,,,,
1426453,Green Penthouse Athens/ Keramikos !,37.98124,23.71747,,,,,,,,,
1447443,your home in the arms of Akropolis,37.9727,23.73281,,,,,,,,,
1452284,"118sq,m.in Athens downtown?SECOND! 3",37.98507,23.72772,,,,,,,,,
1459249,Modern studio in a student accommodation building,37.99983,23.73973,,,,,,,,,
1470809,Filopapos Hill Apartment,37.96727,23.71943,,,,,,,,,
1473284,Room with Balcony in Filopapos Hill,37.96666,23.7208,,,,,,,,,
1473469,Athens2-Feel it like your own space,37.99832,23.73952,,,,,,,,,
1479538,Appointed studio in central urban neighborhood,37.99958,23.73813,,,,,,,,,
1479754,Lovely studio in the heart of Athens,38.00053,23.73906,,,,,,,,,
1482634,Casual and modern studio in Athens city center,37.99971,23.7386,,,,,,,,,
1482747,Trendy and urban studio in athenian center,38.00077,23.7401,,,,,,,,,
1482815,Modern studio in central location,37.99978,23.73883,,,,,,,,,
1482905,Modern Studio located near the heart of Athens,37.9994,23.7401,,,,,,,,,
1482939,Funky studio in the city center,38.00057,23.73862,,,,,,,,,
1483419,Individual studio with view in city center,37.99991,23.73845,,,,,,,,,
1484797,Acropolis Apartment brand new,37.96327,23.71879,,,,,,,,,
1496101,"Cosy, Central & Near Acropolis Museum",37.96371,23.72399,,,,,,,,,
1499953,"Luxury 150m2 in chic, safe & central Kolonaki",37.97998,23.74106,,,,,,,,,
1516652,Cozy Apartment in Petralona,37.96393,23.71092,,,,,,,,,
1525227,Athens Gazi Holidays Apartment,37.97482,23.7075,,,,,,,,,
1529526,Heaven of Wood and Stone in Historic Kolonos,37.99939,23.71822,,,,,,,,,
1568065,"Relax in a very elegant, authentic, quiet & central apartment in Kolonaki Athens",37.97712,23.74386,,,,,,,,,
1575982,"Ideal 43 sq. m. in Athens, Kolonaki",37.97889,23.74278,,,,,,,,,
1615453,Brand New Apartment at Gazi Area,37.98227,23.71172,,,,,,,,,
1627870,Athens Apartment. Elegantly minimal in Petralona,37.96804,23.70951,,,,,,,,,
1639002,minimal style appartment,37.98943,23.74598,,,,,,,,,
1654320,Renovated penthouse with Stunning Views & Netflix,37.98486,23.73911,,,,,,,,,
1659222,Όμορφα ανανεωμένος χώρος με 1 υ/τιο,37.95822,23.73542,,,,,,,,,
1672696,Center NIGHTLIFE of Athens GAZI-110M2 upto 6GUESTS,37.97836,23.70879,,,,,,,,,
1676813,Orpheus' Poetr (Website hidden by Airbnb) ,37.97399,23.71383,,,,,,,,,
1708578,ground little room in strefis,37.98933,23.73871,,,,,,,,,
1734269,9th Heaven,37.95892,23.72305,,,,,,,,,
1743425,strefis 360 view,37.98661,23.73598,,,,,,,,,
1746907,Athensstay Acropolis view 2p-wifi,37.96595,23.72678,,,,,,,,,
1751520,Athensstay Acropolis Foot-metro Fix,37.96605,23.72634,,,,,,,,,
1793287,TopFloor Sunny Apartment  Kolonaki ,37.97799,23.73819,,,,,,,,,
1811588,Stylish loft in a historic building,37.98643,23.73734,,,,,,,,,
1814273,Penthouse Apartment in Exarcheia,37.989,23.74178,,,,,,,,,
1826249,Athens panorama flat ( private room),37.99433,23.74989,,,,,,,,,
1840943,Downtown architect's 2BR apt.,37.98353,23.73569,,,,,,,,,
1843759,Embassy Art House,37.98217,23.75499,,,,,,,,,
1845240,Courtyard apt - Central Athens,37.97207,23.74369,,,,,,,,,
1895040,Athens GREAT Location!,37.99832,23.73961,,,,,,,,,
1900810,#AH02 KOLONAKI PENTHOUSE STUDIO,37.97709,23.745,,,,,,,,,
1905805,Minimal apartment in Athens,38.01962,23.72774,,,,,,,,,
1927601,Amazing Acropolis Private Apartment,37.96689,23.72771,,,,,,,,,
